Date,Time
8/6/1993,12:42 PM
3/31/1996,6:53 AM
4/23/1993,11:17 AM
3/4/2005,1:00 PM
1/24/1998,4:47 PM
4/18/1987,1:35 AM
8/17/1987,4:20 PM
7/20/2015,10:43 AM
11/22/2005,6:29 AM
8/8/2002,6:51 AM
8/12/1980,9:01 AM
10/26/1997,3:19 PM
12/1/1980,1:08 AM
1/27/2008,11:40 PM
1/14/1999,7:13 AM
6/5/2016,6:09 AM
9/21/2010,5:56 AM
12/7/1986,7:45 PM
10/23/1981,10:27 AM
7/22/2010,3:48 AM
4/22/1995,7:18 PM
9/5/1995,2:12 AM
3/8/2012,1:58 AM
6/14/2012,4:19 PM
7/1/1992,10:08 PM
10/8/2012,1:12 AM
2/27/2000,7:45 AM
7/11/1991,6:58 PM
11/27/1981,6:30 PM
1/26/2005,10:06 PM
8/6/2002,1:19 PM
2/20/2005,2:40 PM
8/21/1998,2:27 PM
12/18/1993,9:07 AM
1/10/2004,12:56 PM
10/10/2006,1:12 AM
2/16/2009,8:47 PM
10/19/1981,8:49 PM
9/13/1986,1:52 AM
1/29/2016,2:33 AM
10/10/2008,11:25 AM
6/28/2015,1:08 AM
9/9/1998,8:26 PM
12/7/1980,3:16 AM
11/16/1988,6:54 PM
4/17/1980,11:32 AM
11/28/2009,10:47 PM
6/22/2005,4:51 AM
3/26/1996,5:57 AM
1/24/1980,12:13 PM
9/23/2000,8:05 AM
12/17/2011,8:29 AM
2/18/1990,2:41 AM
3/3/2014,1:28 PM
8/15/2007,9:23 AM
11/30/1999,7:46 AM
5/3/2006,5:55 PM
6/26/1996,1:44 AM
4/11/2010,7:18 AM
5/7/1997,9:32 AM
11/23/2005,2:01 PM
11/6/2001,12:03 PM
6/12/2007,5:25 PM
1/2/2013,10:33 PM
4/11/1990,6:46 PM
11/11/2009,11:44 PM
12/15/2012,11:57 PM
8/16/1999,6:53 AM
10/30/2004,1:39 PM
7/14/2015,4:31 PM
6/10/2003,2:26 PM
11/6/2009,4:23 PM
5/7/2007,10:01 AM
4/4/1999,4:19 PM
6/4/1995,2:24 PM
7/2/1991,1:27 AM
9/10/1988,12:42 PM
9/14/2004,8:13 PM
6/4/1983,3:15 PM
11/13/1988,3:30 PM
3/17/1995,12:50 AM
3/30/2008,10:52 AM
3/30/1980,9:20 PM
9/23/2005,2:55 AM
8/20/2004,5:51 AM
2/1/2008,8:50 AM
9/29/2007,12:11 AM
1/30/1993,2:05 AM
11/27/1991,1:59 PM
3/12/2016,12:40 AM
8/21/1997,5:12 AM
1/26/2005,11:00 PM
5/25/2000,5:45 PM
5/7/1994,5:58 PM
8/26/1981,3:16 PM
7/11/1998,2:17 PM
3/21/1994,8:34 AM
7/19/2014,9:23 PM
6/16/2016,7:47 PM
1/2/1985,9:40 PM
6/21/2005,6:33 AM
2/17/2012,10:20 AM
1/12/1997,5:51 AM
10/11/1996,9:30 PM
12/23/1989,7:01 AM
3/9/1996,4:33 AM
8/4/1993,7:25 PM
4/23/2013,10:12 PM
5/5/1988,7:57 AM
4/22/2000,10:15 AM
6/20/2001,10:39 PM
12/17/1999,3:12 PM
11/27/2003,6:21 AM
6/12/2009,7:16 AM
8/4/2002,11:00 AM
7/1/1982,6:51 AM
6/22/1991,8:58 PM
3/1/1995,3:03 PM
1/12/2012,5:43 AM
6/3/2008,3:05 PM
11/17/1994,6:15 PM
5/9/2016,8:55 AM
4/13/2012,2:04 PM
11/29/2001,2:30 AM
11/16/1983,8:29 AM
9/1/2003,6:46 AM
3/30/1984,6:43 PM
9/29/2002,4:09 PM
8/25/1987,9:16 PM
10/25/1988,1:50 PM
5/1/1984,1:15 PM
7/10/1992,12:23 AM
1/4/1995,7:02 AM
12/25/1987,4:16 PM
4/9/2011,5:38 AM
6/29/2007,5:34 AM
4/24/1995,4:18 AM
5/21/2011,1:45 AM
5/25/2006,11:30 AM
10/3/1990,1:08 AM
2/28/1981,1:23 PM
12/24/1990,8:57 PM
10/9/2003,5:53 PM
1/28/2016,10:55 AM
3/5/1982,2:28 PM
4/4/2009,10:47 PM
11/25/1992,2:24 AM
7/17/2008,1:30 PM
7/14/1991,2:24 AM
8/17/2014,2:00 PM
5/4/1996,8:59 PM
11/3/1997,8:17 PM
8/19/1999,4:03 AM
3/10/2011,8:40 PM
11/15/1980,4:13 AM
3/16/2003,12:12 AM
4/27/1992,1:10 AM
7/27/2005,8:32 AM
2/28/1999,8:45 PM
11/22/1983,10:52 PM
3/18/2000,7:26 PM
8/22/1999,9:09 AM
4/13/1998,11:28 AM
9/3/1990,9:15 PM
8/13/1999,1:03 AM
3/23/2014,1:28 PM
7/9/1991,6:52 PM
12/24/2011,12:22 PM
9/3/1987,5:59 PM
11/4/1996,9:34 PM
1/29/1992,11:36 AM
8/17/2007,3:16 AM
9/23/1991,6:17 PM
12/21/2008,6:51 PM
9/18/2007,6:59 PM
2/17/1998,8:20 PM
1/8/2003,1:02 PM
4/7/2012,8:00 AM
9/3/1997,2:01 AM
10/23/1995,5:53 AM
4/12/2008,5:40 PM
11/14/1999,12:12 PM
6/19/1999,4:44 PM
5/18/1999,5:56 AM
12/18/2003,6:46 AM
1/19/1983,7:25 AM
2/23/2005,9:50 PM
11/19/2004,3:55 PM
10/14/2000,9:40 PM
5/2/1998,3:16 AM
3/19/1996,3:39 AM
10/18/2013,4:51 PM
5/3/2003,7:32 PM
2/18/1995,6:50 AM
1/30/2004,8:25 PM
4/30/2014,2:19 PM
11/10/1985,10:53 AM
11/6/2012,3:51 AM
12/27/1990,9:57 PM
7/17/2009,8:15 AM
8/12/1987,12:04 AM
7/15/1997,5:57 AM
11/8/1982,2:32 AM
1/4/2013,7:53 AM
6/6/2006,9:45 AM
3/27/2006,5:54 PM
12/6/2012,4:01 AM
11/14/1999,8:15 AM
10/12/1987,2:59 AM
9/20/2007,11:25 AM
8/12/1986,7:29 PM
6/24/2006,12:04 PM
11/2/2009,9:42 AM
5/24/1980,11:10 PM
7/23/1989,1:52 PM
5/30/2009,11:41 PM
7/31/2013,8:04 AM
9/3/1999,4:00 PM
6/15/1992,5:08 AM
3/13/1995,12:05 PM
6/17/1991,12:49 PM
1/29/2000,6:01 AM
10/17/1999,10:09 PM
4/30/2010,3:48 AM
9/14/1995,7:50 AM
10/1/2015,7:47 PM
4/19/1995,12:46 AM
4/13/1999,10:31 AM
9/23/1994,1:29 AM
6/8/2000,12:15 AM
2/24/1988,11:29 AM
4/18/1993,3:22 AM
4/4/1997,9:28 PM
2/4/2004,1:47 PM
2/4/1982,5:26 PM
2/11/2015,11:44 PM
4/2/2006,1:57 PM
9/23/2008,2:57 AM
3/25/1982,7:31 AM
5/12/2016,3:43 PM
4/21/1984,7:05 PM
7/6/1983,11:54 PM
10/27/1990,7:15 PM
10/7/1986,5:53 PM
10/8/1996,12:53 PM
4/11/1991,7:44 AM
12/2/1984,2:03 PM
7/27/2010,11:07 PM
12/6/1992,5:58 PM
6/12/2002,3:59 AM
2/6/1986,3:04 PM
3/1/1990,3:46 AM
11/11/2004,1:35 AM
4/28/2003,3:01 AM
5/27/1985,10:13 PM
3/20/2009,7:57 AM
3/13/1998,11:16 PM
11/25/1999,6:16 AM
1/24/2002,3:04 AM
2/6/1995,8:34 AM
3/27/2007,1:44 AM
8/6/1995,1:58 PM
7/16/1986,2:08 PM
11/21/1985,1:08 PM
3/24/1983,11:15 AM
9/23/2004,1:31 PM
8/5/2009,8:14 AM
2/4/2005,1:01 PM
3/3/1982,8:26 AM
8/2/1992,8:35 PM
4/6/2011,1:04 PM
11/20/2001,10:18 AM
2/20/1980,2:25 AM
4/12/1994,8:21 PM
10/5/1982,7:22 AM
2/22/1994,10:25 PM
7/3/1989,4:01 AM
5/29/1991,6:32 AM
6/28/2005,6:03 PM
11/8/2000,7:35 PM
7/12/1997,2:07 AM
1/1/2014,7:46 PM
2/7/2014,3:57 AM
3/11/2009,3:43 AM
10/6/2005,9:33 PM
9/16/1997,12:10 AM
2/2/1984,10:13 AM
11/9/2011,7:06 AM
12/21/1999,10:33 PM
9/27/1985,1:35 PM
6/14/1988,6:20 PM
11/11/1984,10:30 AM
3/7/2000,6:45 AM
10/25/1999,3:35 PM
10/20/1999,6:23 AM
3/2/1981,7:26 PM
11/10/1996,1:49 PM
9/15/2007,10:16 PM
8/30/2004,11:43 AM
1/13/1988,6:42 AM
6/26/1988,3:54 AM
7/11/2015,8:52 PM
7/5/2007,11:59 AM
7/25/1980,12:22 PM
8/12/1981,12:05 AM
2/6/1993,1:05 PM
4/1/1984,1:21 PM
9/26/1981,2:23 AM
9/8/2009,10:16 AM
9/11/1984,6:37 AM
2/20/1990,11:00 PM
1/18/2002,1:51 AM
4/16/2001,10:09 PM
7/1/1991,2:33 AM
3/31/1996,5:40 PM
9/1/1995,2:09 PM
10/3/2013,8:05 PM
12/18/2013,3:09 PM
8/6/2006,7:52 AM
11/25/1981,3:01 PM
7/8/2008,11:40 PM
3/23/1986,9:26 AM
1/8/2002,6:42 PM
12/16/1990,2:20 AM
12/10/1988,8:27 PM
1/2/2005,1:48 AM
6/18/1997,8:01 PM
1/29/1994,6:48 PM
12/19/1991,2:54 AM
1/27/2010,2:57 AM
3/16/2014,6:24 PM
9/3/1983,1:58 PM
2/13/1987,2:15 PM
6/8/1986,2:25 AM
5/23/2011,4:14 PM
11/18/2014,5:00 AM
1/22/2007,2:37 PM
1/5/2000,5:46 PM
9/27/2005,1:41 AM
11/22/1991,12:57 PM
5/12/2009,2:14 PM
9/19/2007,1:01 AM
10/20/2011,10:09 PM
2/24/2009,2:09 PM
5/12/2009,4:36 AM
11/21/2006,8:30 AM
11/22/1998,3:48 AM
3/31/1988,10:59 PM
8/2/1989,11:21 AM
11/24/2005,11:57 PM
8/31/1995,8:31 PM
12/3/2012,11:03 PM
10/9/2011,9:29 AM
4/22/1997,9:36 PM
11/10/2005,4:56 AM
9/14/2003,10:30 PM
2/1/1990,3:32 PM
8/13/2014,3:51 PM
12/17/2011,3:45 AM
5/22/1994,7:06 AM
9/25/2004,1:30 AM
5/5/2014,6:01 AM
11/9/2009,6:32 AM
4/15/2005,8:43 PM
4/16/2002,11:09 PM
7/19/1983,1:57 AM
1/24/1989,8:38 PM
8/4/1989,6:06 AM
12/17/1982,12:10 PM
10/18/2009,6:32 PM
7/15/2009,10:12 PM
8/27/2003,1:00 PM
2/1/1997,4:20 PM
4/13/1999,10:28 PM
12/31/2006,11:02 PM
7/9/2011,11:31 PM
10/16/2015,2:44 AM
4/9/1987,12:47 PM
10/30/1994,5:46 AM
9/18/2002,12:39 PM
7/15/2001,1:33 PM
8/3/1996,1:50 AM
4/18/1996,3:57 PM
7/28/2010,3:08 PM
12/24/1980,10:58 PM
1/19/2010,8:48 AM
1/15/1995,5:27 AM
10/29/1994,4:26 AM
9/19/1989,7:40 PM
10/28/1984,5:59 PM
4/26/2001,12:22 AM
8/15/1989,9:14 AM
10/27/2010,10:28 AM
12/5/1996,5:45 AM
1/8/1998,2:12 AM
11/25/2001,9:55 PM
7/6/2002,3:57 PM
1/13/2005,9:00 AM
7/29/1992,6:40 PM
6/9/1988,9:29 AM
3/16/2004,8:21 AM
4/16/1996,5:40 AM
11/28/1992,5:05 PM
2/8/1984,4:45 AM
7/20/1990,10:49 PM
3/9/2014,4:39 PM
8/22/2010,8:03 AM
2/23/2002,3:55 AM
12/5/2010,4:20 PM
5/29/1994,6:24 AM
8/14/2012,11:25 AM
6/23/1981,8:26 PM
2/11/2007,2:01 AM
9/14/1992,8:21 AM
8/18/2011,8:12 AM
11/16/1990,6:01 PM
6/29/2008,5:23 AM
8/31/1981,2:51 PM
3/2/1982,12:52 PM
11/5/2013,10:50 PM
5/22/1986,6:30 AM
11/20/1986,6:59 PM
9/24/2005,12:04 PM
11/25/1980,4:33 AM
6/9/2003,7:35 AM
5/2/1986,1:50 AM
3/16/2016,2:45 PM
1/10/1981,1:30 PM
5/13/1999,10:48 AM
5/28/2015,8:40 AM
10/1/2010,11:54 AM
12/16/1999,8:28 PM
3/7/2015,8:45 PM
7/20/2008,1:44 PM
2/7/1995,7:38 AM
12/1/2006,3:32 PM
8/29/2007,6:10 AM
3/18/2001,12:02 AM
11/20/1998,2:54 PM
3/1/2013,9:26 PM
7/22/1990,2:53 PM
5/13/2003,9:47 AM
4/23/1998,5:52 AM
5/8/1987,6:19 PM
5/24/2016,9:17 PM
12/12/2006,1:57 AM
8/16/1994,8:33 AM
5/15/2009,3:52 PM
1/30/1992,3:01 PM
11/30/2005,2:57 AM
8/22/2009,1:03 PM
7/15/2016,12:29 AM
11/17/2012,2:47 PM
12/19/1994,6:19 AM
2/21/1995,12:26 AM
10/24/2000,4:13 AM
2/3/1983,11:38 PM
1/9/2015,4:16 AM
9/30/2007,5:34 PM
3/1/1987,1:00 PM
1/17/2005,9:11 AM
8/9/2001,3:56 AM
4/14/1996,9:17 AM
7/11/2002,9:15 AM
5/13/2005,1:25 AM
10/31/1997,2:43 AM
8/4/2007,1:59 PM
6/19/2002,3:06 AM
6/28/1997,1:48 PM
5/9/2015,7:07 PM
7/20/1993,10:18 PM
3/12/2002,6:32 AM
7/10/1984,7:22 PM
8/20/1992,8:23 PM
8/15/2002,12:01 AM
11/26/1992,12:54 AM
10/25/1996,12:59 PM
8/14/2008,5:43 PM
5/22/2011,10:42 AM
7/4/1997,11:47 AM
3/30/2008,10:54 PM
4/27/2013,6:40 AM
5/3/1995,5:49 AM
4/26/1992,8:01 PM
4/14/2000,3:14 PM
8/15/1997,9:48 PM
4/9/2012,6:36 AM
12/3/2014,9:27 AM
3/11/2007,11:20 AM
7/1/2011,9:50 AM
11/23/2007,1:22 PM
9/9/1989,7:12 PM
1/30/1995,7:51 PM
11/1/2005,11:31 PM
3/21/2002,8:02 AM
5/24/1984,10:54 AM
2/26/2016,7:39 PM
5/5/2013,3:28 PM
6/13/1994,4:21 PM
12/10/1980,11:04 PM
